id,b,c,v,t
1007339,6,19,17,"Real KJV text for book 6 19:17"
1007340,6,19,18,"Real KJV text for book 6 19:18"
1007341,6,19,19,"Real KJV text for book 6 19:19"
1007342,6,19,20,"Real KJV text for book 6 19:20"
1007343,6,19,21,"Real KJV text for book 6 19:21"
1007344,6,19,22,"Real KJV text for book 6 19:22"
1007345,6,19,23,"Real KJV text for book 6 19:23"
1007346,6,19,24,"Real KJV text for book 6 19:24"
1007347,6,19,25,"Real KJV text for book 6 19:25"
1007348,6,19,26,"Real KJV text for book 6 19:26"
1007349,6,19,27,"Real KJV text for book 6 19:27"
1007350,6,19,28,"Real KJV text for book 6 19:28"
1007351,6,19,29,"Real KJV text for book 6 19:29"
1007352,6,19,30,"Real KJV text for book 6 19:30"
1007353,6,19,31,"Real KJV text for book 6 19:31"
1007354,6,19,32,"Real KJV text for book 6 19:32"
1007355,6,19,33,"Real KJV text for book 6 19:33"
1007356,6,19,34,"Real KJV text for book 6 19:34"
1007357,6,19,35,"Real KJV text for book 6 19:35"
1007358,6,19,36,"Real KJV text for book 6 19:36"
1007359,6,19,37,"Real KJV text for book 6 19:37"
1007360,6,19,38,"Real KJV text for book 6 19:38"
1007361,6,19,39,"Real KJV text for book 6 19:39"
1007362,6,19,40,"Real KJV text for book 6 19:40"
1007363,6,19,41,"Real KJV text for book 6 19:41"
1007364,6,19,42,"Real KJV text for book 6 19:42"
1007365,6,19,43,"Real KJV text for book 6 19:43"
1007366,6,19,44,"Real KJV text for book 6 19:44"
1007367,6,19,45,"Real KJV text for book 6 19:45"
1007368,6,19,46,"Real KJV text for book 6 19:46"
1007369,6,19,47,"Real KJV text for book 6 19:47"
1007370,6,19,48,"Real KJV text for book 6 19:48"
1007371,6,19,49,"Real KJV text for book 6 19:49"
1007372,6,19,50,"Real KJV text for book 6 19:50"
1007373,6,19,51,"Real KJV text for book 6 19:51"
1007374,6,20,1,"Real KJV text for book 6 20:1"
1007375,6,20,2,"Real KJV text for book 6 20:2"
1007376,6,20,3,"Real KJV text for book 6 20:3"
1007377,6,20,4,"Real KJV text for book 6 20:4"
1007378,6,20,5,"Real KJV text for book 6 20:5"
1007379,6,20,6,"Real KJV text for book 6 20:6"
1007380,6,20,7,"Real KJV text for book 6 20:7"
1007381,6,20,8,"Real KJV text for book 6 20:8"
1007382,6,20,9,"Real KJV text for book 6 20:9"
1007383,6,21,1,"Real KJV text for book 6 21:1"
1007384,6,21,2,"Real KJV text for book 6 21:2"
1007385,6,21,3,"Real KJV text for book 6 21:3"
1007386,6,21,4,"Real KJV text for book 6 21:4"
1007387,6,21,5,"Real KJV text for book 6 21:5"
1007388,6,21,6,"Real KJV text for book 6 21:6"
1007389,6,21,7,"Real KJV text for book 6 21:7"
1007390,6,21,8,"Real KJV text for book 6 21:8"
1007391,6,21,9,"Real KJV text for book 6 21:9"
1007392,6,21,10,"Real KJV text for book 6 21:10"
1007393,6,21,11,"Real KJV text for book 6 21:11"
1007394,6,21,12,"Real KJV text for book 6 21:12"
1007395,6,21,13,"Real KJV text for book 6 21:13"
1007396,6,21,14,"Real KJV text for book 6 21:14"
1007397,6,21,15,"Real KJV text for book 6 21:15"
1007398,6,21,16,"Real KJV text for book 6 21:16"
1007399,6,21,17,"Real KJV text for book 6 21:17"
1007400,6,21,18,"Real KJV text for book 6 21:18"
1007401,6,21,19,"Real KJV text for book 6 21:19"
1007402,6,21,20,"Real KJV text for book 6 21:20"
1007403,6,21,21,"Real KJV text for book 6 21:21"
1007404,6,21,22,"Real KJV text for book 6 21:22"
1007405,6,21,23,"Real KJV text for book 6 21:23"
1007406,6,21,24,"Real KJV text for book 6 21:24"
1007407,6,21,25,"Real KJV text for book 6 21:25"
1007408,6,21,26,"Real KJV text for book 6 21:26"
1007409,6,21,27,"Real KJV text for book 6 21:27"
1007410,6,21,28,"Real KJV text for book 6 21:28"
1007411,6,21,29,"Real KJV text for book 6 21:29"
1007412,6,21,30,"Real KJV text for book 6 21:30"
1007413,6,21,31,"Real KJV text for book 6 21:31"
1007414,6,21,32,"Real KJV text for book 6 21:32"
1007415,6,21,33,"Real KJV text for book 6 21:33"
1007416,6,21,34,"Real KJV text for book 6 21:34"
1007417,6,21,35,"Real KJV text for book 6 21:35"
1007418,6,21,36,"Real KJV text for book 6 21:36"
1007419,6,21,37,"Real KJV text for book 6 21:37"
1007420,6,21,38,"Real KJV text for book 6 21:38"
1007421,6,21,39,"Real KJV text for book 6 21:39"
1007422,6,21,40,"Real KJV text for book 6 21:40"
1007423,6,21,41,"Real KJV text for book 6 21:41"
1007424,6,21,42,"Real KJV text for book 6 21:42"
1007425,6,21,43,"Real KJV text for book 6 21:43"
1007426,6,21,44,"Real KJV text for book 6 21:44"
1007427,6,21,45,"Real KJV text for book 6 21:45"
1007428,6,22,1,"Real KJV text for book 6 22:1"
1007429,6,22,2,"Real KJV text for book 6 22:2"
1007430,6,22,3,"Real KJV text for book 6 22:3"
1007431,6,22,4,"Real KJV text for book 6 22:4"
1007432,6,22,5,"Real KJV text for book 6 22:5"
1007433,6,22,6,"Real KJV text for book 6 22:6"
1007434,6,22,7,"Real KJV text for book 6 22:7"
1007435,6,22,8,"Real KJV text for book 6 22:8"
1007436,6,22,9,"Real KJV text for book 6 22:9"
1007437,6,22,10,"Real KJV text for book 6 22:10"
1007438,6,22,11,"Real KJV text for book 6 22:11"
1007439,6,22,12,"Real KJV text for book 6 22:12"
1007440,6,22,13,"Real KJV text for book 6 22:13"
1007441,6,22,14,"Real KJV text for book 6 22:14"
1007442,6,22,15,"Real KJV text for book 6 22:15"
1007443,6,22,16,"Real KJV text for book 6 22:16"
1007444,6,22,17,"Real KJV text for book 6 22:17"
1007445,6,22,18,"Real KJV text for book 6 22:18"
1007446,6,22,19,"Real KJV text for book 6 22:19"
1007447,6,22,20,"Real KJV text for book 6 22:20"
1007448,6,22,21,"Real KJV text for book 6 22:21"
1007449,6,22,22,"Real KJV text for book 6 22:22"
1007450,6,22,23,"Real KJV text for book 6 22:23"
1007451,6,22,24,"Real KJV text for book 6 22:24"
1007452,6,22,25,"Real KJV text for book 6 22:25"
1007453,6,22,26,"Real KJV text for book 6 22:26"
1007454,6,22,27,"Real KJV text for book 6 22:27"
1007455,6,22,28,"Real KJV text for book 6 22:28"
1007456,6,22,29,"Real KJV text for book 6 22:29"
1007457,6,22,30,"Real KJV text for book 6 22:30"
1007458,6,22,31,"Real KJV text for book 6 22:31"
1007459,6,22,32,"Real KJV text for book 6 22:32"
1007460,6,22,33,"Real KJV text for book 6 22:33"
1007461,6,22,34,"Real KJV text for book 6 22:34"
1007462,6,23,1,"Real KJV text for book 6 23:1"
1007463,6,23,2,"Real KJV text for book 6 23:2"
1007464,6,23,3,"Real KJV text for book 6 23:3"
1007465,6,23,4,"Real KJV text for book 6 23:4"
1007466,6,23,5,"Real KJV text for book 6 23:5"
1007467,6,23,6,"Real KJV text for book 6 23:6"
1007468,6,23,7,"Real KJV text for book 6 23:7"
1007469,6,23,8,"Real KJV text for book 6 23:8"
1007470,6,23,9,"Real KJV text for book 6 23:9"
1007471,6,23,10,"Real KJV text for book 6 23:10"
1007472,6,23,11,"Real KJV text for book 6 23:11"
1007473,6,23,12,"Real KJV text for book 6 23:12"
1007474,6,23,13,"Real KJV text for book 6 23:13"
1007475,6,23,14,"Real KJV text for book 6 23:14"
1007476,6,23,15,"Real KJV text for book 6 23:15"
1007477,6,23,16,"Real KJV text for book 6 23:16"
1007478,6,24,1,"Real KJV text for book 6 24:1"
1007479,6,24,2,"Real KJV text for book 6 24:2"
1007480,6,24,3,"Real KJV text for book 6 24:3"
1007481,6,24,4,"Real KJV text for book 6 24:4"
1007482,6,24,5,"Real KJV text for book 6 24:5"
1007483,6,24,6,"Real KJV text for book 6 24:6"
1007484,6,24,7,"Real KJV text for book 6 24:7"
1007485,6,24,8,"Real KJV text for book 6 24:8"
1007486,6,24,9,"Real KJV text for book 6 24:9"
1007487,6,24,10,"Real KJV text for book 6 24:10"
1007488,6,24,11,"Real KJV text for book 6 24:11"
1007489,6,24,12,"Real KJV text for book 6 24:12"
1007490,6,24,13,"Real KJV text for book 6 24:13"
1007491,6,24,14,"Real KJV text for book 6 24:14"
1007492,6,24,15,"Real KJV text for book 6 24:15"
1007493,6,24,16,"Real KJV text for book 6 24:16"
1007494,6,24,17,"Real KJV text for book 6 24:17"
1007495,6,24,18,"Real KJV text for book 6 24:18"
1007496,6,24,19,"Real KJV text for book 6 24:19"
1007497,6,24,20,"Real KJV text for book 6 24:20"
1007498,6,24,21,"Real KJV text for book 6 24:21"
1007499,6,24,22,"Real KJV text for book 6 24:22"
1007500,6,24,23,"Real KJV text for book 6 24:23"
1007501,6,24,24,"Real KJV text for book 6 24:24"
1007502,6,24,25,"Real KJV text for book 6 24:25"
1007503,6,24,26,"Real KJV text for book 6 24:26"
1007504,6,24,27,"Real KJV text for book 6 24:27"
1007505,6,24,28,"Real KJV text for book 6 24:28"
1007506,6,24,29,"Real KJV text for book 6 24:29"
1007507,6,24,30,"Real KJV text for book 6 24:30"
1007508,6,24,31,"Real KJV text for book 6 24:31"
1007509,6,24,32,"Real KJV text for book 6 24:32"
1007510,6,24,33,"Real KJV text for book 6 24:33"
1007511,7,1,1,"Real KJV text for book 7 1:1"
1007512,7,1,2,"Real KJV text for book 7 1:2"
1007513,7,1,3,"Real KJV text for book 7 1:3"
1007514,7,1,4,"Real KJV text for book 7 1:4"
1007515,7,1,5,"Real KJV text for book 7 1:5"
1007516,7,1,6,"Real KJV text for book 7 1:6"
1007517,7,1,7,"Real KJV text for book 7 1:7"
1007518,7,1,8,"Real KJV text for book 7 1:8"
1007519,7,1,9,"Real KJV text for book 7 1:9"
1007520,7,1,10,"Real KJV text for book 7 1:10"
1007521,7,1,11,"Real KJV text for book 7 1:11"
1007522,7,1,12,"Real KJV text for book 7 1:12"
1007523,7,1,13,"Real KJV text for book 7 1:13"
1007524,7,1,14,"Real KJV text for book 7 1:14"
1007525,7,1,15,"Real KJV text for book 7 1:15"
1007526,7,1,16,"Real KJV text for book 7 1:16"
1007527,7,1,17,"Real KJV text for book 7 1:17"
1007528,7,1,18,"Real KJV text for book 7 1:18"
1007529,7,1,19,"Real KJV text for book 7 1:19"
1007530,7,1,20,"Real KJV text for book 7 1:20"
1007531,7,1,21,"Real KJV text for book 7 1:21"
1007532,7,1,22,"Real KJV text for book 7 1:22"
1007533,7,1,23,"Real KJV text for book 7 1:23"
1007534,7,1,24,"Real KJV text for book 7 1:24"
1007535,7,1,25,"Real KJV text for book 7 1:25"
1007536,7,1,26,"Real KJV text for book 7 1:26"
1007537,7,1,27,"Real KJV text for book 7 1:27"
1007538,7,1,28,"Real KJV text for book 7 1:28"
1007539,7,1,29,"Real KJV text for book 7 1:29"
1007540,7,1,30,"Real KJV text for book 7 1:30"
1007541,7,1,31,"Real KJV text for book 7 1:31"
1007542,7,1,32,"Real KJV text for book 7 1:32"
1007543,7,1,33,"Real KJV text for book 7 1:33"
1007544,7,1,34,"Real KJV text for book 7 1:34"
1007545,7,1,35,"Real KJV text for book 7 1:35"
1007546,7,1,36,"Real KJV text for book 7 1:36"
1007547,7,2,1,"Real KJV text for book 7 2:1"
1007548,7,2,2,"Real KJV text for book 7 2:2"
1007549,7,2,3,"Real KJV text for book 7 2:3"
1007550,7,2,4,"Real KJV text for book 7 2:4"
1007551,7,2,5,"Real KJV text for book 7 2:5"
1007552,7,2,6,"Real KJV text for book 7 2:6"
1007553,7,2,7,"Real KJV text for book 7 2:7"
1007554,7,2,8,"Real KJV text for book 7 2:8"
1007555,7,2,9,"Real KJV text for book 7 2:9"
1007556,7,2,10,"Real KJV text for book 7 2:10"
1007557,7,2,11,"Real KJV text for book 7 2:11"
1007558,7,2,12,"Real KJV text for book 7 2:12"
1007559,7,2,13,"Real KJV text for book 7 2:13"
1007560,7,2,14,"Real KJV text for book 7 2:14"
1007561,7,2,15,"Real KJV text for book 7 2:15"
1007562,7,2,16,"Real KJV text for book 7 2:16"
1007563,7,2,17,"Real KJV text for book 7 2:17"
1007564,7,2,18,"Real KJV text for book 7 2:18"
1007565,7,2,19,"Real KJV text for book 7 2:19"
1007566,7,2,20,"Real KJV text for book 7 2:20"
1007567,7,2,21,"Real KJV text for book 7 2:21"
1007568,7,2,22,"Real KJV text for book 7 2:22"
1007569,7,2,23,"Real KJV text for book 7 2:23"
1007570,7,3,1,"Real KJV text for book 7 3:1"
1007571,7,3,2,"Real KJV text for book 7 3:2"
1007572,7,3,3,"Real KJV text for book 7 3:3"
1007573,7,3,4,"Real KJV text for book 7 3:4"
1007574,7,3,5,"Real KJV text for book 7 3:5"
1007575,7,3,6,"Real KJV text for book 7 3:6"
1007576,7,3,7,"Real KJV text for book 7 3:7"
1007577,7,3,8,"Real KJV text for book 7 3:8"
1007578,7,3,9,"Real KJV text for book 7 3:9"
1007579,7,3,10,"Real KJV text for book 7 3:10"
1007580,7,3,11,"Real KJV text for book 7 3:11"
1007581,7,3,12,"Real KJV text for book 7 3:12"
1007582,7,3,13,"Real KJV text for book 7 3:13"
1007583,7,3,14,"Real KJV text for book 7 3:14"
1007584,7,3,15,"Real KJV text for book 7 3:15"
1007585,7,3,16,"Real KJV text for book 7 3:16"
1007586,7,3,17,"Real KJV text for book 7 3:17"
1007587,7,3,18,"Real KJV text for book 7 3:18"
1007588,7,3,19,"Real KJV text for book 7 3:19"
1007589,7,3,20,"Real KJV text for book 7 3:20"
1007590,7,3,21,"Real KJV text for book 7 3:21"
1007591,7,3,22,"Real KJV text for book 7 3:22"
1007592,7,3,23,"Real KJV text for book 7 3:23"
1007593,7,3,24,"Real KJV text for book 7 3:24"
1007594,7,3,25,"Real KJV text for book 7 3:25"
1007595,7,3,26,"Real KJV text for book 7 3:26"
1007596,7,3,27,"Real KJV text for book 7 3:27"
1007597,7,3,28,"Real KJV text for book 7 3:28"
1007598,7,3,29,"Real KJV text for book 7 3:29"
1007599,7,3,30,"Real KJV text for book 7 3:30"
1007600,7,3,31,"Real KJV text for book 7 3:31"
1007601,7,4,1,"Real KJV text for book 7 4:1"
1007602,7,4,2,"Real KJV text for book 7 4:2"
1007603,7,4,3,"Real KJV text for book 7 4:3"
1007604,7,4,4,"Real KJV text for book 7 4:4"
1007605,7,4,5,"Real KJV text for book 7 4:5"
1007606,7,4,6,"Real KJV text for book 7 4:6"
1007607,7,4,7,"Real KJV text for book 7 4:7"
1007608,7,4,8,"Real KJV text for book 7 4:8"
1007609,7,4,9,"Real KJV text for book 7 4:9"
1007610,7,4,10,"Real KJV text for book 7 4:10"
1007611,7,4,11,"Real KJV text for book 7 4:11"
1007612,7,4,12,"Real KJV text for book 7 4:12"
1007613,7,4,13,"Real KJV text for book 7 4:13"
1007614,7,4,14,"Real KJV text for book 7 4:14"
1007615,7,4,15,"Real KJV text for book 7 4:15"
1007616,7,4,16,"Real KJV text for book 7 4:16"
1007617,7,4,17,"Real KJV text for book 7 4:17"
1007618,7,4,18,"Real KJV text for book 7 4:18"
1007619,7,4,19,"Real KJV text for book 7 4:19"
1007620,7,4,20,"Real KJV text for book 7 4:20"
1007621,7,4,21,"Real KJV text for book 7 4:21"
1007622,7,4,22,"Real KJV text for book 7 4:22"
1007623,7,4,23,"Real KJV text for book 7 4:23"
1007624,7,4,24,"Real KJV text for book 7 4:24"
1007625,7,5,1,"Real KJV text for book 7 5:1"
1007626,7,5,2,"Real KJV text for book 7 5:2"
1007627,7,5,3,"Real KJV text for book 7 5:3"
1007628,7,5,4,"Real KJV text for book 7 5:4"
1007629,7,5,5,"Real KJV text for book 7 5:5"
1007630,7,5,6,"Real KJV text for book 7 5:6"
1007631,7,5,7,"Real KJV text for book 7 5:7"
1007632,7,5,8,"Real KJV text for book 7 5:8"
1007633,7,5,9,"Real KJV text for book 7 5:9"
1007634,7,5,10,"Real KJV text for book 7 5:10"
1007635,7,5,11,"Real KJV text for book 7 5:11"
1007636,7,5,12,"Real KJV text for book 7 5:12"
1007637,7,5,13,"Real KJV text for book 7 5:13"
1007638,7,5,14,"Real KJV text for book 7 5:14"
1007639,7,5,15,"Real KJV text for book 7 5:15"
1007640,7,5,16,"Real KJV text for book 7 5:16"
1007641,7,5,17,"Real KJV text for book 7 5:17"
1007642,7,5,18,"Real KJV text for book 7 5:18"
1007643,7,5,19,"Real KJV text for book 7 5:19"
1007644,7,5,20,"Real KJV text for book 7 5:20"
1007645,7,5,21,"Real KJV text for book 7 5:21"
1007646,7,5,22,"Real KJV text for book 7 5:22"
1007647,7,5,23,"Real KJV text for book 7 5:23"
1007648,7,5,24,"Real KJV text for book 7 5:24"
1007649,7,5,25,"Real KJV text for book 7 5:25"
1007650,7,5,26,"Real KJV text for book 7 5:26"
1007651,7,5,27,"Real KJV text for book 7 5:27"
1007652,7,5,28,"Real KJV text for book 7 5:28"
1007653,7,5,29,"Real KJV text for book 7 5:29"
1007654,7,5,30,"Real KJV text for book 7 5:30"
1007655,7,5,31,"Real KJV text for book 7 5:31"
1007656,7,6,1,"Real KJV text for book 7 6:1"
1007657,7,6,2,"Real KJV text for book 7 6:2"
1007658,7,6,3,"Real KJV text for book 7 6:3"
1007659,7,6,4,"Real KJV text for book 7 6:4"
1007660,7,6,5,"Real KJV text for book 7 6:5"
1007661,7,6,6,"Real KJV text for book 7 6:6"
1007662,7,6,7,"Real KJV text for book 7 6:7"
1007663,7,6,8,"Real KJV text for book 7 6:8"
1007664,7,6,9,"Real KJV text for book 7 6:9"
1007665,7,6,10,"Real KJV text for book 7 6:10"
1007666,7,6,11,"Real KJV text for book 7 6:11"
1007667,7,6,12,"Real KJV text for book 7 6:12"
1007668,7,6,13,"Real KJV text for book 7 6:13"
1007669,7,6,14,"Real KJV text for book 7 6:14"
1007670,7,6,15,"Real KJV text for book 7 6:15"
1007671,7,6,16,"Real KJV text for book 7 6:16"
1007672,7,6,17,"Real KJV text for book 7 6:17"
1007673,7,6,18,"Real KJV text for book 7 6:18"
1007674,7,6,19,"Real KJV text for book 7 6:19"
1007675,7,6,20,"Real KJV text for book 7 6:20"
1007676,7,6,21,"Real KJV text for book 7 6:21"
1007677,7,6,22,"Real KJV text for book 7 6:22"
1007678,7,6,23,"Real KJV text for book 7 6:23"
1007679,7,6,24,"Real KJV text for book 7 6:24"
1007680,7,6,25,"Real KJV text for book 7 6:25"
1007681,7,6,26,"Real KJV text for book 7 6:26"
1007682,7,6,27,"Real KJV text for book 7 6:27"
1007683,7,6,28,"Real KJV text for book 7 6:28"
1007684,7,6,29,"Real KJV text for book 7 6:29"
1007685,7,6,30,"Real KJV text for book 7 6:30"
1007686,7,6,31,"Real KJV text for book 7 6:31"
1007687,7,6,32,"Real KJV text for book 7 6:32"
1007688,7,6,33,"Real KJV text for book 7 6:33"
1007689,7,6,34,"Real KJV text for book 7 6:34"
1007690,7,6,35,"Real KJV text for book 7 6:35"
1007691,7,6,36,"Real KJV text for book 7 6:36"
1007692,7,6,37,"Real KJV text for book 7 6:37"
1007693,7,6,38,"Real KJV text for book 7 6:38"
1007694,7,6,39,"Real KJV text for book 7 6:39"
1007695,7,6,40,"Real KJV text for book 7 6:40"
1007696,7,7,1,"Real KJV text for book 7 7:1"
1007697,7,7,2,"Real KJV text for book 7 7:2"
1007698,7,7,3,"Real KJV text for book 7 7:3"
1007699,7,7,4,"Real KJV text for book 7 7:4"
1007700,7,7,5,"Real KJV text for book 7 7:5"
1007701,7,7,6,"Real KJV text for book 7 7:6"
1007702,7,7,7,"Real KJV text for book 7 7:7"
1007703,7,7,8,"Real KJV text for book 7 7:8"
1007704,7,7,9,"Real KJV text for book 7 7:9"
1007705,7,7,10,"Real KJV text for book 7 7:10"
1007706,7,7,11,"Real KJV text for book 7 7:11"
1007707,7,7,12,"Real KJV text for book 7 7:12"
1007708,7,7,13,"Real KJV text for book 7 7:13"
1007709,7,7,14,"Real KJV text for book 7 7:14"
1007710,7,7,15,"Real KJV text for book 7 7:15"
1007711,7,7,16,"Real KJV text for book 7 7:16"
1007712,7,7,17,"Real KJV text for book 7 7:17"
1007713,7,7,18,"Real KJV text for book 7 7:18"
1007714,7,7,19,"Real KJV text for book 7 7:19"
1007715,7,7,20,"Real KJV text for book 7 7:20"
1007716,7,7,21,"Real KJV text for book 7 7:21"
1007717,7,7,22,"Real KJV text for book 7 7:22"
1007718,7,7,23,"Real KJV text for book 7 7:23"
1007719,7,7,24,"Real KJV text for book 7 7:24"
1007720,7,7,25,"Real KJV text for book 7 7:25"
1007721,7,8,1,"Real KJV text for book 7 8:1"
1007722,7,8,2,"Real KJV text for book 7 8:2"
1007723,7,8,3,"Real KJV text for book 7 8:3"
1007724,7,8,4,"Real KJV text for book 7 8:4"
1007725,7,8,5,"Real KJV text for book 7 8:5"
1007726,7,8,6,"Real KJV text for book 7 8:6"
1007727,7,8,7,"Real KJV text for book 7 8:7"
1007728,7,8,8,"Real KJV text for book 7 8:8"
1007729,7,8,9,"Real KJV text for book 7 8:9"
1007730,7,8,10,"Real KJV text for book 7 8:10"
1007731,7,8,11,"Real KJV text for book 7 8:11"
1007732,7,8,12,"Real KJV text for book 7 8:12"
1007733,7,8,13,"Real KJV text for book 7 8:13"
1007734,7,8,14,"Real KJV text for book 7 8:14"
1007735,7,8,15,"Real KJV text for book 7 8:15"
1007736,7,8,16,"Real KJV text for book 7 8:16"
1007737,7,8,17,"Real KJV text for book 7 8:17"
1007738,7,8,18,"Real KJV text for book 7 8:18"
1007739,7,8,19,"Real KJV text for book 7 8:19"
1007740,7,8,20,"Real KJV text for book 7 8:20"
1007741,7,8,21,"Real KJV text for book 7 8:21"
1007742,7,8,22,"Real KJV text for book 7 8:22"
1007743,7,8,23,"Real KJV text for book 7 8:23"
1007744,7,8,24,"Real KJV text for book 7 8:24"
1007745,7,8,25,"Real KJV text for book 7 8:25"
1007746,7,8,26,"Real KJV text for book 7 8:26"
1007747,7,8,27,"Real KJV text for book 7 8:27"
1007748,7,8,28,"Real KJV text for book 7 8:28"
1007749,7,8,29,"Real KJV text for book 7 8:29"
1007750,7,8,30,"Real KJV text for book 7 8:30"
1007751,7,8,31,"Real KJV text for book 7 8:31"
1007752,7,8,32,"Real KJV text for book 7 8:32"
1007753,7,8,33,"Real KJV text for book 7 8:33"
1007754,7,8,34,"Real KJV text for book 7 8:34"
1007755,7,8,35,"Real KJV text for book 7 8:35"
1007756,7,9,1,"Real KJV text for book 7 9:1"
1007757,7,9,2,"Real KJV text for book 7 9:2"
1007758,7,9,3,"Real KJV text for book 7 9:3"
1007759,7,9,4,"Real KJV text for book 7 9:4"
1007760,7,9,5,"Real KJV text for book 7 9:5"
1007761,7,9,6,"Real KJV text for book 7 9:6"
1007762,7,9,7,"Real KJV text for book 7 9:7"
1007763,7,9,8,"Real KJV text for book 7 9:8"
1007764,7,9,9,"Real KJV text for book 7 9:9"
1007765,7,9,10,"Real KJV text for book 7 9:10"
1007766,7,9,11,"Real KJV text for book 7 9:11"
1007767,7,9,12,"Real KJV text for book 7 9:12"
1007768,7,9,13,"Real KJV text for book 7 9:13"
1007769,7,9,14,"Real KJV text for book 7 9:14"
1007770,7,9,15,"Real KJV text for book 7 9:15"
1007771,7,9,16,"Real KJV text for book 7 9:16"
1007772,7,9,17,"Real KJV text for book 7 9:17"
1007773,7,9,18,"Real KJV text for book 7 9:18"
1007774,7,9,19,"Real KJV text for book 7 9:19"
1007775,7,9,20,"Real KJV text for book 7 9:20"
1007776,7,9,21,"Real KJV text for book 7 9:21"
1007777,7,9,22,"Real KJV text for book 7 9:22"
1007778,7,9,23,"Real KJV text for book 7 9:23"
1007779,7,9,24,"Real KJV text for book 7 9:24"
1007780,7,9,25,"Real KJV text for book 7 9:25"
1007781,7,9,26,"Real KJV text for book 7 9:26"
1007782,7,9,27,"Real KJV text for book 7 9:27"
1007783,7,9,28,"Real KJV text for book 7 9:28"
1007784,7,9,29,"Real KJV text for book 7 9:29"
1007785,7,9,30,"Real KJV text for book 7 9:30"
1007786,7,9,31,"Real KJV text for book 7 9:31"
1007787,7,9,32,"Real KJV text for book 7 9:32"
1007788,7,9,33,"Real KJV text for book 7 9:33"
1007789,7,9,34,"Real KJV text for book 7 9:34"
1007790,7,9,35,"Real KJV text for book 7 9:35"
1007791,7,9,36,"Real KJV text for book 7 9:36"
1007792,7,9,37,"Real KJV text for book 7 9:37"
1007793,7,9,38,"Real KJV text for book 7 9:38"
1007794,7,9,39,"Real KJV text for book 7 9:39"
1007795,7,9,40,"Real KJV text for book 7 9:40"
1007796,7,9,41,"Real KJV text for book 7 9:41"
1007797,7,9,42,"Real KJV text for book 7 9:42"
1007798,7,9,43,"Real KJV text for book 7 9:43"
1007799,7,9,44,"Real KJV text for book 7 9:44"
1007800,7,9,45,"Real KJV text for book 7 9:45"
1007801,7,9,46,"Real KJV text for book 7 9:46"
1007802,7,9,47,"Real KJV text for book 7 9:47"
1007803,7,9,48,"Real KJV text for book 7 9:48"
1007804,7,9,49,"Real KJV text for book 7 9:49"
1007805,7,9,50,"Real KJV text for book 7 9:50"
1007806,7,9,51,"Real KJV text for book 7 9:51"
1007807,7,9,52,"Real KJV text for book 7 9:52"
1007808,7,9,53,"Real KJV text for book 7 9:53"
1007809,7,9,54,"Real KJV text for book 7 9:54"
1007810,7,9,55,"Real KJV text for book 7 9:55"
1007811,7,9,56,"Real KJV text for book 7 9:56"
1007812,7,9,57,"Real KJV text for book 7 9:57"
1007813,7,10,1,"Real KJV text for book 7 10:1"
1007814,7,10,2,"Real KJV text for book 7 10:2"
1007815,7,10,3,"Real KJV text for book 7 10:3"
1007816,7,10,4,"Real KJV text for book 7 10:4"
1007817,7,10,5,"Real KJV text for book 7 10:5"
1007818,7,10,6,"Real KJV text for book 7 10:6"
1007819,7,10,7,"Real KJV text for book 7 10:7"
1007820,7,10,8,"Real KJV text for book 7 10:8"
1007821,7,10,9,"Real KJV text for book 7 10:9"
1007822,7,10,10,"Real KJV text for book 7 10:10"
1007823,7,10,11,"Real KJV text for book 7 10:11"
1007824,7,10,12,"Real KJV text for book 7 10:12"
1007825,7,10,13,"Real KJV text for book 7 10:13"
1007826,7,10,14,"Real KJV text for book 7 10:14"
1007827,7,10,15,"Real KJV text for book 7 10:15"
1007828,7,10,16,"Real KJV text for book 7 10:16"
1007829,7,10,17,"Real KJV text for book 7 10:17"
1007830,7,10,18,"Real KJV text for book 7 10:18"
1007831,7,11,1,"Real KJV text for book 7 11:1"
1007832,7,11,2,"Real KJV text for book 7 11:2"
1007833,7,11,3,"Real KJV text for book 7 11:3"
1007834,7,11,4,"Real KJV text for book 7 11:4"
1007835,7,11,5,"Real KJV text for book 7 11:5"
1007836,7,11,6,"Real KJV text for book 7 11:6"
1007837,7,11,7,"Real KJV text for book 7 11:7"
1007838,7,11,8,"Real KJV text for book 7 11:8"
1007839,7,11,9,"Real KJV text for book 7 11:9"
1007840,7,11,10,"Real KJV text for book 7 11:10"
1007841,7,11,11,"Real KJV text for book 7 11:11"
1007842,7,11,12,"Real KJV text for book 7 11:12"
1007843,7,11,13,"Real KJV text for book 7 11:13"
1007844,7,11,14,"Real KJV text for book 7 11:14"
1007845,7,11,15,"Real KJV text for book 7 11:15"
1007846,7,11,16,"Real KJV text for book 7 11:16"
1007847,7,11,17,"Real KJV text for book 7 11:17"
1007848,7,11,18,"Real KJV text for book 7 11:18"
1007849,7,11,19,"Real KJV text for book 7 11:19"
1007850,7,11,20,"Real KJV text for book 7 11:20"
1007851,7,11,21,"Real KJV text for book 7 11:21"
1007852,7,11,22,"Real KJV text for book 7 11:22"
1007853,7,11,23,"Real KJV text for book 7 11:23"
1007854,7,11,24,"Real KJV text for book 7 11:24"
1007855,7,11,25,"Real KJV text for book 7 11:25"
1007856,7,11,26,"Real KJV text for book 7 11:26"
